Start Date,End Date,Campaign Name,Advert Name,Placement,Reach,Frequency,Impressions,Clicks,Unique Clicks,Click-through Rate (CTR),Unique Click-through Rate (uCTR),Amount Spent (EUR),Actions,People Taking Action,Page Likes,Impression Device,Destination
2015-04-13,2015-04-13,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Right Column Adverts on Home Page for Desktop Computers,16,2.8125,45,2,1,4.444444,6.25,0.03,2,1,0,Desktop,No Breakdown
2015-04-13,2015-04-13,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Right Column Adverts on Desktop Computers,359,1.793872,644,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-04-13,2015-04-13,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,5,1,5,0,0,0,0,0.02,0,0,0,iPad,No Breakdown
2015-04-13,2015-04-13,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,20,1.1,22,1,1,4.545455,5,0.1,1,1,0,iPhone,No Breakdown
2015-04-13,2015-04-13,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,iPod,No Breakdown
2015-04-13,2015-04-13,Dartele Piano's,www.orkest.nl/concert/dartele-piano%E2%80%99s - Website Conversions,News Feed on Mobile Devices,19,1,19,0,0,0,0,0.07,0,0,0,Android Smartphone,No Breakdown
2015-04-13,2015-04-13,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Audience Network on Third-party Mobile Apps,9,1.333333,12,0,0,0,0,0,0,0,0,Other,No Breakdown
2015-04-13,2015-04-13,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Right Column Adverts on Desktop Computers,27,2.666667,72,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-04-13,2015-04-13,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Desktop Computers,58,1.017241,59,0,0,0,0,0.36,0,0,0,Desktop,No Breakdown
2015-04-13,2015-04-13,Dartele Piano's,www.orkest.nl/concert/dartele-piano%E2%80%99s - Website Conversions,Right Column Adverts on Home Page for Desktop Computers,12,1.25,15,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-04-13,2015-04-13,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,4,1,4,1,1,25,25,0.01,1,1,0,Android Smartphone,No Breakdown
2015-04-13,2015-04-13,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,8,1.125,9,0,0,0,0,0.04,0,0,0,iPad,No Breakdown
2015-04-13,2015-04-13,Dartele Piano's,www.orkest.nl/concert/dartele-piano’s - Website Conversions,Right Column Adverts on Home Page for Desktop Computers,36,1.305556,47,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-04-13,2015-04-13,Dartele Piano's,www.orkest.nl/concert/dartele-piano%E2%80%99s - Website Conversions,Audience Network on Third-party Mobile Apps,3,2.333333,7,1,1,14.285714,33.333333,0,1,1,0,Other,No Breakdown
2015-04-13,2015-04-13,Dartele Piano's,www.orkest.nl/concert/dartele-piano%E2%80%99s - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,iPod,No Breakdown
2015-04-13,2015-04-13,Dartele Piano's,www.orkest.nl/concert/dartele-piano%E2%80%99s - Website Conversions,News Feed on Mobile Devices,8,1,8,0,0,0,0,0.02,0,0,0,iPad,No Breakdown
2015-04-13,2015-04-13,Dartele Piano's,www.orkest.nl/concert/dartele-piano%E2%80%99s - Website Conversions,News Feed on Desktop Computers,113,1,113,1,1,0.884956,0.884956,0.79,5,3,0,Desktop,No Breakdown
